TIC,CTOI,TEV Disposition,Notes,CTOI Category,TIC ID,TFOPWG Disposition
102169275.0,102169275.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
115115136.0,115115136.01,FP(EB),,Likely FP,,
115115136.0,115115136.02,FP(EB),,Likely FP,,
115410334.0,115410334.01,FP(EB),Centroid offset + depth-aperture correlation,Likely FP,,
118084297.0,118084297.01,FP(EB),newCTOI; Y1 and s36 SPOC shows eccentric EB,Likely FP,,
118084297.0,118084297.01,FP(EB),newCTOI,Likely FP,,
121420805.0,121420805.01,FP(EB),Primary/secondary,Likely FP,,
121420805.0,121420805.02,FP(EB),Primary/secondary,Likely FP,,
122897814.0,122897814.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
126945917.0,126945917.01,FP(EB),Primary/secondary,Likely FP,,
126945917.0,126945917.02,FP(EB),Primary/secondary,Likely FP,,
129268651.0,129268651.01,FP(EB),,Likely FP,,
135050395.0,135050395.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
136886352.0,136886352.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
137205922.0,137205922.01,FP(EB),33 Re,Likely FP,,
140659980.0,140659980.01,FP(EB),,Likely FP,,
140659980.0,140659980.02,FP(EB),,Likely FP,,
140736015.0,140736015.01,FP(EB),52 Re,Likely FP,,
141708335.0,141708335.01,FP(EB),Centroid offset centered on another star,Likely FP,,
141770592.0,141770592.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
141809359.0,141809359.02,FP(EB),,Likely FP,,
141943694.0,141943694.01,FP(EB),Centroid offset centered on another star,Likely FP,,
142443425.0,142443425.01,FP(EB),new CTOI,Likely FP,,
143924219.0,143924219.01,FP(EB),Primary/secondary,Likely FP,,
143924219.0,143924219.02,FP(EB),Primary/secondary,Likely FP,,
144000467.0,144000467.01,FP(EB),Primary/secondary,Likely FP,,
144000467.0,144000467.02,FP(EB),Primary/secondary,Likely FP,,
144284873.0,144284873.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
144462697.0,144462697.01,FP(EB),Primary/secondary,Likely FP,,
144462697.0,144462697.02,FP(EB),Primary/secondary,Likely FP,,
146129309.0,146129309.01,FP(EB),Some depth-aperture; PC in individual vetting; recon spectra show it's SB2,Likely FP,,
147035057.0,147035057.01,FP(EB),Found with our in-house single transit finder,Likely FP,,
148158540.0,148158540.01,FP(EB),Eccentric EB,Likely FP,,
150101472.0,150101472.01,FP(EB),new CTOI,Likely FP,,
150442264.0,150442264.02,FP(EB),,Likely FP,,
152223725.0,152223725.01,FP(EB),Primary/secondary,Likely FP,,
152223725.0,152223725.02,FP(EB),Primary/secondary,Likely FP,,
153123407.0,153123407.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
160036449.0,160036449.01,FP(EB),Primary/secondary,Likely FP,,
160036449.0,160036449.02,FP(EB),Primary/secondary,Likely FP,,
161577376.0,161577376.01,FP(EB),Preliminary Vetting with DAVE.  There are 3 transits with centroids.,Likely FP,,
162694128.0,162694128.01,FP(EB),Centroid offset and 4-sigma secondary,Likely FP,,
165493409.0,165493409.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
165531514.0,165531514.01,FP(EB),Centroid offset on another star,Likely FP,,
167554898.0,167554898.01,FP(EB),new CTOI,Likely FP,,
167692429.0,167692429.01,FP(EB),Primary/secondary,Likely FP,,
167692429.0,167692429.02,FP(EB),Primary/secondary,Likely FP,,
167792080.0,167792080.01,FP(EB),Centroid offset centered on another star,Likely FP,,
177350401.0,177350401.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
191672086.0,191672086.01,FP(EB),,Likely FP,,
197760286.0,197760286.01,FP(EB),new CTOI,Likely FP,,
198382308.0,198382308.02,FP(EB),Signal is secondary; centroid offset,Likely FP,,
200324182.0,200324182.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
201234926.0,201234926.01,FP(EB),Too large,Likely FP,,
201293780.0,201293780.01,FP(EB),Primary/secondary,Likely FP,,
201293780.0,201293780.02,FP(EB),Primary/secondary,Likely FP,,
204327008.0,204327008.01,FP(EB),Primary/secondary,Likely FP,,
204327008.0,204327008.02,FP(EB),Primary/secondary,Likely FP,,
204497617.0,204497617.01,FP(EB),Too large; secondary,Likely FP,,
206556127.0,206556127.01,FP(EB),Too large,Likely FP,,
207080350.0,207080350.01,FP(EB),Eccentric EB,Likely FP,,
211380233.0,211380233.01,FP(EB),,Likely FP,,
214299966.0,214299966.01,FP(EB),Signal is secondary,Likely FP,,
219095755.0,219095755.01,FP(EB),Centroid offset on another star,Likely FP,,
219151731.0,219151731.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
219207175.0,219207175.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
219308281.0,219308281.01,FP(EB),Primary/secondary,Likely FP,,
219308281.0,219308281.02,FP(EB),Primary/secondary,Likely FP,,
219322317.0,219322317.01,FP(EB),early year 1 report; priority 4/5; new CTOI,Likely FP,,
219421728.0,219421728.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
219777401.0,219777401.01,FP(EB),Centroid offset on another star,Likely FP,,
219780464.0,219780464.01,FP(EB),V-shaped; 4 sigma odd-even,Likely FP,,
219865181.0,219865181.01,FP(EB),Centroid offset on another star,Likely FP,,
220388567.0,220388567.01,FP(EB),Odd-even,Likely FP,,
220402290.0,220402290.01,FP(EB),Primary/secondary,Likely FP,,
220474209.0,220474209.01,FP(EB),Primary/secondary,Likely FP,,
220523550.0,220523550.01,FP(EB),Primary/secondary,Likely FP,,
220523550.0,220523550.02,FP(EB),Primary/secondary,Likely FP,,
220595524.0,220595524.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
229487733.0,229487733.01,FP(EB),26 full transits,Likely FP,,
229597404.0,229597404.01,FP(EB),Deep secondary away from phase 0.5,Likely FP,,
229778990.0,229778990.01,FP(EB),Centroid offset on another star,Likely FP,,
229808144.0,229808144.01,FP(EB),Primary/secondary,Likely FP,,
229808144.0,229808144.02,FP(EB),Primary/secondary,Likely FP,,
230023734.0,230023734.01,FP(EB),"U-shaped, very weak & uncertain secondary.",Likely FP,,
230050959.0,230050959.01,FP(EB),1350 ppm secondary,Likely FP,,
231279823.0,231279823.01,FP(EB),Centroid offset centered on another star,Likely FP,,
231714759.0,231714759.01,FP(EB),Primary/secondary,Likely FP,,
231714759.0,231714759.02,FP(EB),Primary/secondary,Likely FP,,
231840927.0,231840927.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
233051157.0,233051157.01,FP(EB),Centroid offset on another star,Likely FP,,
233058265.0,233058265.01,FP(EB),Deep secondary away from phase 0.5,Likely FP,,
233208635.0,233208635.01,FP(EB),Depth-aperture correlation,Likely FP,,
233714939.0,233714939.01,FP(EB),Secondary; depth-aperture correlation,Likely FP,,
233744223.0,233744223.01,FP(EB),26 Re at 44 d,Likely FP,,
234503282.0,234503282.01,FP(EB),,Likely FP,,
235009317.0,235009317.01,FP(EB),Primary/secondary,Likely FP,,
235009317.0,235009317.02,FP(EB),Primary/secondary,Likely FP,,
236761861.0,236761861.01,FP(EB),25 Re,Likely FP,,
237236168.0,237236168.01,FP(EB),Significant depth-aperture correlation,Likely FP,,
237332597.0,237332597.01,FP(EB),Primary/secondary,Likely FP,,
237332597.0,237332597.02,FP(EB),Primary/secondary,Likely FP,,
238082493.0,238082493.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
238235254.0,238235254.01,FP(EB),"new CTOI likely member of Velorum association, PATHOS-39 in Nardiello (2020)",Likely FP,,
238616144.0,238616144.01,FP(EB),,Likely FP,,
251087387.0,251087387.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
253922296.0,253922296.01,FP(EB),,Likely FP,,
253928535.0,253928535.01,FP(EB),Odd-even,Likely FP,,
256865091.0,256865091.01,FP(EB),Deep secondary away from phase 0.5,Likely FP,,
257648522.0,257648522.01,FP(EB),KELT FP; new CTOI,Likely FP,,
258918835.0,258918835.01,FP(EB),Centroid offset on another star,Likely FP,,
260502102.0,260502102.01,FP(EB),Primary/secondary,Likely FP,,
260502102.0,260502102.02,FP(EB),Primary/secondary,Likely FP,,
261107974.0,261107974.01,FP(EB),Centroid offset centered on another star,Likely FP,,
261335113.0,261335113.01,FP(EB),Primary/secondary,Likely FP,,
261335113.0,261335113.02,FP(EB),Primary/secondary,Likely FP,,
264051559.0,264051559.01,FP(EB),new CTOI,Likely FP,,
265279725.0,265279725.01,FP(EB),sector 34 only- good fit to model transits,Likely FP,,
265489698.0,265489698.01,FP(EB),Primary/secondary,Likely FP,,
265489698.0,265489698.02,FP(EB),Primary/secondary,Likely FP,,
265613590.0,265613590.01,FP(EB),Primary/secondary,Likely FP,,
265613590.0,265613590.02,FP(EB),Primary/secondary,Likely FP,,
266996791.0,266996791.01,FP(EB),Primary/secondary,Likely FP,,
266996791.0,266996791.02,FP(EB),Primary/secondary,Likely FP,,
269698422.0,269698422.01,FP(EB),new CTOI,Likely FP,,
269829384.0,269829384.01,FP(EB),Primary/secondary,Likely FP,,
269829384.0,269829384.02,FP(EB),Primary/secondary,Likely FP,,
270677759.0,270677759.01,FP(EB),Centroid offset centered on another star,Likely FP,,
272357134.0,272357134.01,FP(EB),,Likely FP,,
272357134.0,272357134.02,FP(EB),,Likely FP,,
275570329.0,275570329.01,FP(EB),EB Kepler-854 b,Likely FP,,
277649549.0,277649549.01,FP(EB),Primary/secondary,Likely FP,,
277649549.0,277649549.02,FP(EB),Primary/secondary,Likely FP,,
279314488.0,279314488.01,FP(EB),Primary/secondary,Likely FP,,
279314488.0,279314488.02,FP(EB),Primary/secondary,Likely FP,,
284206913.0,284206913.01,FP(EB),Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,Likely FP,,
284990199.0,284990199.01,FP(EB),new CTOI,Likely FP,,
290044434.0,290044434.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
293480903.0,293480903.01,FP(EB),Primary/secondary,Likely FP,,
293480903.0,293480903.02,FP(EB),Primary/secondary,Likely FP,,
293689267.0,293689267.01,FP(EB),,Likely FP,,
300560295.0,300560295.01,FP(EB),Too large + secondary,Likely FP,,
300903537.0,300903537.01,FP(EB),9000 ppm secondary,Likely FP,,
300903537.0,300903537.02,FP(EB),Primary/secondary,Likely FP,,
303909865.0,303909865.01,FP(EB),Primary/secondary,Likely FP,,
303909865.0,303909865.02,FP(EB),Primary/secondary,Likely FP,,
306385801.0,306385801.01,FP(EB),Large; killed in GV; recon spectra show it's SB2,Likely FP,,
306828113.0,306828113.01,FP(EB),newCTOI; significant odd even; very v-shaped; short period; EB,Likely FP,,
308425348.0,308425348.01,FP(EB),Significant depth-aperture correlation in QLP report; no match on simbad;alerted by mistake,Likely FP,,
308851582.0,308851582.01,FP(EB),Primary/secondary,Likely FP,,
308851582.0,308851582.02,FP(EB),Primary/secondary,Likely FP,,
308991822.0,308991822.01,FP(EB),EB; primary/secondary,Likely FP,,
309146836.0,309146836.01,FP(EB),Primary/secondary,Likely FP,,
309146836.0,309146836.02,FP(EB),Primary/secondary,Likely FP,,
318357083.0,318357083.01,FP(EB),"RUWE binarity score = 0.95.  Found several transits, and it looks like a 'U'.",Likely FP,,
325205605.0,325205605.01,FP(EB),Primary/secondary,Likely FP,,
325205605.0,325205605.02,FP(EB),Primary/secondary,Likely FP,,
326356701.0,326356701.01,FP(EB),Primary/secondary,Likely FP,,
326356701.0,326356701.02,FP(EB),Primary/secondary,Likely FP,,
341983711.0,341983711.01,FP(EB),Centroid offset centered on another star,Likely FP,,
344087362.0,344087362.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
349154435.0,349154435.01,FP(EB),Primary/secondary,Likely FP,,
349154435.0,349154435.02,FP(EB),Primary/secondary,Likely FP,,
349518145.0,349518145.01,FP(EB),,Likely FP,,
350479101.0,350479101.02,FP(EB),EB; too large,Likely FP,,
350480660.0,350480660.01,FP(EB),Preliminary Vetting with DAVE,Likely FP,,
352915304.0,352915304.01,FP(EB),Centroid offset centered on another star,Likely FP,,
355601117.0,355601117.01,FP(EB),,Likely FP,,
355601117.0,355601117.02,FP(EB),,Likely FP,,
358457398.0,358457398.01,FP(EB),Primary/secondary,Likely FP,,
358457398.0,358457398.02,FP(EB),Primary/secondary,Likely FP,,
360205899.0,360205899.01,FP(EB),EB; primary/secondary,Likely FP,,
372913337.0,372913337.01,FP(EB),"new CTOI likely member of NGC 2516     , PATHOS-23 in Nardiello et al. (2020)",Likely FP,,
374732772.0,374732772.01,FP(EB),"new CTOI likely member of Lupus association  , PATHOS-42 in Nardiello (2020)",Likely FP,,
381854774.0,381854774.01,FP(EB),Odd-even; v-shaped; large,Likely FP,,
381856446.0,381856446.01,FP(EB),Preliminary Vetting with DAVE,Likely FP,,
382260153.0,382260153.01,FP(EB),new CTOI; centroid offset,Likely FP,,
382517745.0,382517745.01,FP(EB),,Likely FP,,
382517745.0,382517745.02,FP(EB),,Likely FP,,
388128308.0,388128308.01,FP(EB),,Likely FP,,
394585218.0,394585218.01,FP(EB),Primary/secondary,Likely FP,,
394585218.0,394585218.02,FP(EB),Primary/secondary,Likely FP,,
406276109.0,406276109.01,FP(EB),Eccentric EB,Likely FP,,
406681360.0,406681360.01,FP(EB),31 Re,Likely FP,,
407584737.0,407584737.01,FP(EB),Primary/secondary,Likely FP,,
407584737.0,407584737.02,FP(EB),Primary/secondary,Likely FP,,
419744996.0,419744996.01,FP(EB),Primary/secondary,Likely FP,,
419744996.0,419744996.02,FP(EB),Primary/secondary,Likely FP,,
438524691.0,438524691.01,FP(EB),newCTOI,Likely FP,,
439366537.0,439366537.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
441422220.0,441422220.01,FP(EB),Primary/secondary,Likely FP,,
441422220.0,441422220.02,FP(EB),Primary/secondary,Likely FP,,
,46627823.01,,,Likely FP,46627823.0,FP
,125192758.01,,,Likely FP,125192758.0,FP
,349118653.01,,,Likely FP,349118653.0,FP
,399868187.02,,,Likely FP,399868187.0,FP
